FECHA,DISPOSITIVO,TIEMPO DE SESION,TRAFICO DE SUBIDA,TRAFICO BAJADA,SESIONES,USUARIOS,ID ZONA,NOMBRE ZONA,MUNICIPIO
01/10/2021,34fa9f2523d0,44361,103,3096,65,20,1633,7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
01/10/2021,34fa9f252d00,52263,199,1374,55,31,1635,7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
01/10/2021,34fa9f248c40,86818,337,5969,72,38,1641,7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
01/10/2021,34fa9f245b00,78688,194,6408,168,49,1683,7649708002_Obando_Villa Europa,OBANDO
01/10/2021,34fa9f2513e0,73462,204,3202,185,50,1683,7649708002_Obando_Villa Europa,OBANDO
01/10/2021,34fa9f2534a0,31220,116,3040,180,32,1685,7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
01/10/2021,34fa9f247f70,29938,84,1868,173,27,1685,7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
01/10/2021,34fa9f248e20,2024,7,172,1,1,1674,7683408001_Valle del Cauca_TuluÃ¡_Coliseo de F,TULUÁ
01/10/2021,34fa9f248b40,6176,4,20,3,2,1686,7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
01/10/2021,34fa9f255690,6515,27,263,3,3,1700,7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
01/10/2021,34fa9f250430,1827,7,44,12,1,1664,7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
01/10/2021,34fa9f254a60,50353,95,1660,27,20,1633,7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
01/10/2021,34fa9f24a4e0,9383,17,333,27,10,1730,7611308001_BUGALAGRANDE_PARQUE BARRIO COCICOI,BUGALAGRANDE
01/10/2021,34fa9f253130,20786,61,701,34,12,1730,7611308001_BUGALAGRANDE_PARQUE BARRIO COCICOI,BUGALAGRANDE
02/10/2021,34fa9f252d00,57486,66,1247,47,32,1635,7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
02/10/2021,34fa9f248c40,113678,288,3524,138,44,1641,7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
02/10/2021,34fa9f245b00,124152,344,9338,269,74,1683,7649708002_Obando_Villa Europa,OBANDO
02/10/2021,34fa9f2513e0,76017,194,4021,262,64,1683,7649708002_Obando_Villa Europa,OBANDO
02/10/2021,34fa9f247f70,31105,79,881,75,25,1685,7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
02/10/2021,34fa9f2534a0,30849,66,854,42,24,1685,7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
02/10/2021,34fa9f245c70,2882,3,14,1,1,1706,7682308002_Valle del Cauca_Toro_El Chanco,TORO
02/10/2021,34fa9f248b40,397,0,3,2,1,1686,7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
