FECHA,DISPOSITIVO,TIEMPO DE SESION,TRAFICO DE SUBIDA,TRAFICO BAJADA,SESIONES,USUARIOS,ID ZONA,NOMBRE ZONA,MUNICIPIO
01/10/2021,34fa9f2523d0,"44,361",103,"3,096",65,20,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
01/10/2021,34fa9f252d00,"52,263",199,"1,374",55,31,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
01/10/2021,34fa9f248c40,"86,818",337,"5,969",72,38,"1,641",7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
01/10/2021,34fa9f245b00,"78,688",194,"6,408",168,49,"1,683",7649708002_Obando_Villa Europa,OBANDO
01/10/2021,34fa9f2513e0,"73,462",204,"3,202",185,50,"1,683",7649708002_Obando_Villa Europa,OBANDO
01/10/2021,34fa9f2534a0,"31,220",116,"3,040",180,32,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
01/10/2021,34fa9f247f70,"29,938",84,"1,868",173,27,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
01/10/2021,34fa9f248e20,"2,024",7,172,1,1,"1,674",7683408001_Valle del Cauca_TuluÃ¡_Coliseo de F,TULUÁ
01/10/2021,34fa9f248b40,"6,176",4,20,3,2,"1,686",7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
01/10/2021,34fa9f255690,"6,515",27,263,3,3,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
01/10/2021,34fa9f250430,"1,827",7,44,12,1,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
01/10/2021,34fa9f254a60,"50,353",95,"1,660",27,20,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
01/10/2021,34fa9f24a4e0,"9,383",17,333,27,10,"1,730",7611308001_BUGALAGRANDE_PARQUE BARRIO COCICOI,BUGALAGRANDE
01/10/2021,34fa9f253130,"20,786",61,701,34,12,"1,730",7611308001_BUGALAGRANDE_PARQUE BARRIO COCICOI,BUGALAGRANDE
02/10/2021,34fa9f252d00,"57,486",66,"1,247",47,32,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
02/10/2021,34fa9f248c40,"113,678",288,"3,524",138,44,"1,641",7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
02/10/2021,34fa9f245b00,"124,152",344,"9,338",269,74,"1,683",7649708002_Obando_Villa Europa,OBANDO
02/10/2021,34fa9f2513e0,"76,017",194,"4,021",262,64,"1,683",7649708002_Obando_Villa Europa,OBANDO
02/10/2021,34fa9f247f70,"31,105",79,881,75,25,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
02/10/2021,34fa9f2534a0,"30,849",66,854,42,24,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
